des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2024 VY2,3,2460638.558549896,2024-Nov-24 01:24,0.0419608739530032,0.0415997967289215,0.0423219478093715,13.252057067635,13.2472645571554,00:20,24.096
2009 WB105,33,2460639.530616696,2024-Nov-25 00:44,0.0386816364574392,0.0386812097082394,0.0386820632067533,18.8962568132901,18.8926111745447,< 00:01,23.50
2006 WB,23,2460641.250717964,2024-Nov-26 18:01,0.00595778519591705,0.00595765165282691,0.0059579187391281,4.20373763980637,4.09596840467804,< 00:01,22.8
2018 DC4,2,2460643.811407873,2024-Nov-29 07:28,0.0480819645971297,0.0421685073392256,0.0588639843271648,4.48625852432312,4.47388922847967,1_03:07,27.3
2019 JN2,9,2460644.818577365,2024-Nov-30 07:39,0.0239701302121573,0.0234198343654785,0.0245417024097809,7.71324223649293,7.69881738738894,01:04,25.72
2021 XZ,1,2460646.884510675,2024-Dec-02 09:14,0.0337615776147352,0.0200874596875928,0.0476207513242321,7.39715125391635,7.38647451408639,1_22:20,28.21
447755,77,2460648.469592213,2024-Dec-03 23:16,0.036979884317809,0.0369796155935187,0.0369801530421055,12.2226103088621,12.2167138997111,< 00:01,19.73
2020 XR,34,2460648.727124101,2024-Dec-04 05:27,0.014768258146794,0.0147675906396507,0.0147689256555835,12.3095801384049,12.2949145792291,< 00:01,19.81
2021 WA5,4,2460649.501345769,2024-Dec-05 00:02,0.0251253539986964,3.5250104998602e-05,0.0588926735162791,5.91974490795122,5.90180352991899,6_08:03,27.29
2024 UU3,3,2460653.367090415,2024-Dec-08 20:49,0.0433633342486519,0.0429204688521843,0.0438061598045137,4.80388469974935,4.79107684345988,00:40,24.865
2018 XU3,11,2460655.851998684,2024-Dec-11 08:27,0.043064839317161,0.0430644438934215,0.0430652347428294,10.7810692467882,10.7753288313159,< 00:01,25.48
2007 XB23,8,2460656.255272166,2024-Dec-11 18:08,0.00297883841071384,0.000651049407590574,0.100601862015541,4.76594146748453,4.57441357832626,5_15:09,27.1
2022 YO1,2,2460662.153019928,2024-Dec-17 15:40,0.00505758338180306,3.63096523434893e-05,0.0134853830895743,14.3336018197223,14.2967997824337,15:24,30.01
2020 XY4,8,2460664.489565450,2024-Dec-19 23:45,0.0328107141872905,0.0293354802913488,0.0362906067599121,8.79010446124008,8.7808610762525,04:23,27.0
2017 YD2,2,2460672.417205282,2024-Dec-27 22:01,0.0461139822951646,0.0283217240754796,0.0639038233108139,9.90995073681323,9.90411848793791,00:16,28.7
2024 AV2,5,2460675.657307164,2024-Dec-31 03:47,0.0172710837918136,0.0172654659818597,0.0172767017308015,7.84073288454133,7.82103216644206,< 00:01,26.62
2021 AO4,2,2460679.995163552,2025-Jan-04 11:53,0.01765220766235,0.0104061121805786,0.204052015982216,15.1162925810038,15.1063038215881,8_13:18,27.64
2020 BC6,14,2460681.405372607,2025-Jan-05 21:44,0.0246218340760807,0.0246214585521866,0.0246222097960125,22.1830102986398,22.1781314287432,< 00:01,20.78
2024 BM1,3,2460684.432588561,2025-Jan-08 22:23,0.0294770531261515,0.022599469482956,0.0364100760939846,9.0808381957971,9.07087862597344,06:14,26.04
2024 PT5,38,2460684.591051710,2025-Jan-09 02:11,0.0120360012138081,0.0120357280002585,0.0120362744241891,1.0253316397622,0.780098315192172,00:01,27.42
2012 UK171,51,2460686.527547705,2025-Jan-11 00:40,0.0272814267604021,0.0272811548984527,0.0272816986231657,6.36203926831804,6.34666926881072,< 00:01,24.43
